Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"6 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,658,5345,House: Two Storey / Highset,-33.7784967,150.9849907,485000,Toongabbie Station NSW,3.240806185
"11 Aberdeen Road Winston Hills, NSW, 2153",4,2,3,746,1527,House: One Storey / Lowset,-33.7789311,150.9851271,932000,Toongabbie Station NSW,3.238852337
"12 Aberdeen Road Winston Hills, NSW, 2153",4,2,2,670,452,House: One Storey / Lowset,-33.7786132,150.9843542,941000,Toongabbie Station NSW,3.180792291
"16 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,556,5321,House,-33.7786797,150.9839904,397000,Toongabbie Station NSW,3.146497319
"17 Aberdeen Road Winston Hills, NSW, 2153",5,2,1,664,5454,House,-33.7790734,150.9845133,515000,Toongabbie Station NSW,3.179963698
"18 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,563,5125,House: One Storey / Lowset,-33.7787812,150.9837631,435000,Toongabbie Station NSW,3.123074216
"19 Aberdeen Road Winston Hills, NSW, 2153",4,2,1,664,532,House: One Storey / Lowset,-33.7790809,150.9843087,950000,Toongabbie Station NSW,3.161594502
"23 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,645,4994,House: One Storey / Lowset,-33.7791757,150.9838995,408000,Toongabbie Station NSW,3.122338605
"27 Aberdeen Road Winston Hills, NSW, 2153",3,1,3,645,3435,House: One Storey / Lowset,-33.7792822,150.9835357,575000,Toongabbie Station NSW,3.086735426
"29 Aberdeen Road Winston Hills, NSW, 2153",5,3,2,645,3452,House,-33.7793079,150.9833375,270000,Toongabbie Station NSW,3.068361014
"30 Aberdeen Road Winston Hills, NSW, 2153",5,2,2,582,3055,House,-33.7789094,150.983172,690000,Toongabbie Station NSW,3.066679442
"33 Aberdeen Road Winston Hills, NSW, 2153",4,2,1,715,938,House: One Storey / Lowset,-33.7793704,150.9829447,950000,Toongabbie Station NSW,3.031583746
"37 Aberdeen Road Winston Hills, NSW, 2153",3,1,2,670,2200,House: One Storey / Lowset,-33.7794652,150.9825354,662000,Toongabbie Station NSW,2.992320254
"38 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,620,7310,House,-33.779099,150.9823536,302000,Toongabbie Station NSW,2.988198638
"41 Aberdeen Road Winston Hills, NSW, 2153",4,3,2,670,1625,House: One Storey / Lowset,-33.7795318,150.9821717,835000,Toongabbie Station NSW,2.957993723
"43 Aberdeen Road Winston Hills, NSW, 2153",5,3,2,670,3178,House: One Storey / Lowset,-33.7795934,150.9819444,830000,Toongabbie Station NSW,2.935903859
"46 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,556,65,House: One Storey / Lowset,-33.7792205,150.9815806,1000000,Toongabbie Station NSW,2.916007852
"47 Aberdeen Road Winston Hills, NSW, 2153",3,1,1,556,2472,House: One Storey / Lowset,-33.7796291,150.9816943,560000,Toongabbie Station NSW,2.912623026
"48 Aberdeen Road Winston Hills, NSW, 2153",4,2,1,556,1999,House: One Storey / Lowset,-33.7792537,150.9813988,720000,Toongabbie Station NSW,2.898877086
"50 Aberdeen Road Winston Hills, NSW, 2153",3,1,2,563,2938,House: One Storey / Lowset,-33.7793319,150.9810805,580000,Toongabbie Station NSW,2.868207344
"53 Aberdeen Road Winston Hills, NSW, 2153",3,1,2,613,636,House: One Storey / Lowset,-33.7797264,150.9812169,835000,Toongabbie Station NSW,2.867254244
"4 Agius Street Winston Hills, NSW, 2153",3,2,2,664,3575,House: One Storey / Lowset,-33.7740053,150.9785344,585000,Toongabbie Station NSW,2.89462216
"8 Agius Street Winston Hills, NSW, 2153",4,2,4,790,1450,House: One Storey / Lowset,-33.7740394,150.977966,1068500,Toongabbie Station NSW,2.847473888
"9 Agius Street Winston Hills, NSW, 2153",3,1,2,569,6735,House: One Storey / Lowset,-33.7744979,150.9778069,365000,Toongabbie Station NSW,2.808944683
"10 Agius Street Winston Hills, NSW, 2153",4,3,3,683,6552,House,-33.7740635,150.9776705,580000,Toongabbie Station NSW,2.822673744
"17 Agius Street Winston Hills, NSW, 2153",3,2,2,715,3362,House: One Storey / Lowset,-33.7742831,150.9771249,618000,Toongabbie Station NSW,2.766882656
"21 Agius Street Winston Hills, NSW, 2153",4,2,2,556,3206,House,-33.7739069,150.9772159,690000,Toongabbie Station NSW,2.795915159
"7 Asquith Avenue Winston Hills, NSW, 2153",3,2,2,696,805,House,-33.7746363,150.9965855,1040000,Westmead Station NSW,3.84038659
"8 Asquith Avenue Winston Hills, NSW, 2153",3,1,1,696,2897,House,-33.7742364,150.9961009,615000,Westmead Station NSW,3.874905241
"10 Asquith Avenue Winston Hills, NSW, 2153",4,2,1,696,1147,House,-33.774161,150.9962421,1215000,Westmead Station NSW,3.885689408
"11 Asquith Avenue Winston Hills, NSW, 2153",3,1,4,696,1765,House: One Storey / Lowset,-33.7744782,150.9969038,844000,Westmead Station NSW,3.863793593
"15 Asquith Avenue Winston Hills, NSW, 2153",5,2,2,696,4588,House: One Storey / Lowset,-33.7741602,150.9972221,642500,Westmead Station NSW,3.904704058
"16 Asquith Avenue Winston Hills, NSW, 2153",5,3,6,1359,1669,House,-33.7739448,150.9967469,1580000,Westmead Station NSW,3.918698794
"18 Asquith Avenue Winston Hills, NSW, 2153",3,1,1,759,1784,House: One Storey / Lowset,-33.7736558,150.9968129,900000,Westmead Station NSW,3.951400188
"19 Asquith Avenue Winston Hills, NSW, 2153",4,2,1,696,2162,House,-33.7739155,150.9973585,811000,Westmead Station NSW,3.934025789
"20 Asquith Avenue Winston Hills, NSW, 2153",3,1,2,765,5144,House: One Storey / Lowset,-33.7735243,150.9967674,450000,Westmead Station NSW,3.964835116
"21 Asquith Avenue Winston Hills, NSW, 2153",4,2,1,696,6660,House,-33.7737273,150.997404,402500,Westmead Station NSW,3.955364363
"22 Asquith Avenue Winston Hills, NSW, 2153",3,2,2,765,4838,House: One Storey / Lowset,-33.773394,150.9966878,495000,Westmead Station NSW,3.977509307
"25 Asquith Avenue Winston Hills, NSW, 2153",4,2,2,708,535,House,-33.7733561,150.9973585,951000,Westmead Station NSW,3.994705399
"32 Asquith Avenue Winston Hills, NSW, 2153",3,2,2,746,745,House,-33.772855,150.9961538,900000,Westmead Station NSW,4.026593169
"36 Asquith Avenue Winston Hills, NSW, 2153",4,2,1,708,3717,House: One Storey / Lowset,-33.772697,150.9957216,570000,Westmead Station NSW,4.036524793
"38 Asquith Avenue Winston Hills, NSW, 2153",3,2,2,696,3113,House,-33.7723641,150.9953578,625000,Westmead Station NSW,4.067137862
"40 Asquith Avenue Winston Hills, NSW, 2153",4,2,3,696,3294,House: One Storey / Lowset,-33.7721643,150.9953578,635000,Westmead Station NSW,4.089037124
"3 Atlas Place Winston Hills, NSW, 2153",4,1,2,664,3483,House: One Storey / Lowset,-33.7741665,150.9766703,610000,Toongabbie Station NSW,2.737846156
"4 Atlas Place Winston Hills, NSW, 2153",4,2,2,721,6104,House,-33.7742663,150.9761247,493000,Toongabbie Station NSW,2.689215322
"8 Atlas Place Winston Hills, NSW, 2153",4,2,2,632,3515,House: One Storey / Lowset,-33.774546,150.9761247,585000,Toongabbie Station NSW,2.672754332
"12 Atlas Place Winston Hills, NSW, 2153",4,2,1,986,3323,House: One Storey / Lowset,-33.7748889,150.9762156,635000,Toongabbie Station NSW,2.660139281
"14 Atlas Place Winston Hills, NSW, 2153",4,2,1,911,1054,House,-33.7749072,150.9764429,1276000,Toongabbie Station NSW,2.677155042
"3 Attlee Place Winston Hills, NSW, 2153",4,1,1,708,3466,House: One Storey / Lowset,-33.7750244,150.9932661,600000,Westmead Station NSW,3.745558753
"6 Attlee Place Winston Hills, NSW, 2153",4,2,2,696,2366,House: One Storey / Lowset,-33.7755222,150.9934935,875000,Westmead Station NSW,3.693566401
"12 Attlee Place Winston Hills, NSW, 2153",4,1,2,708,2716,House: One Storey / Lowset,-33.7755305,150.9929024,570000,Westmead Station NSW,3.685434041
"13 Attlee Place Winston Hills, NSW, 2153",3,1,1,721,388,House: One Storey / Lowset,-33.7753559,150.9927743,875000,Westmead Station NSW,3.703245738
"14 Attlee Place Winston Hills, NSW, 2153",3,1,2,759,2107,House: One Storey / Lowset,-33.7751973,150.9926899,820000,Westmead Station NSW,3.719820406
"15 Attlee Place Winston Hills, NSW, 2153",3,3,1,759,5167,House: One Storey / Lowset,-33.7750611,150.9926295,568000,Westmead Station NSW,3.734204758
"3 Attow Street Winston Hills, NSW, 2153",3,1,2,594,372,House,-33.7785701,150.9778751,796000,Toongabbie Station NSW,2.617258932
"4 Attow Street Winston Hills, NSW, 2153",4,2,2,961,1788,House: One Storey / Lowset,-33.7780574,150.978057,1301000,Toongabbie Station NSW,2.654148028
