Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"52 Abuklea Road Eastwood, NSW, 2122",3,1,2,828,3624,House: One Storey / Lowset,-33.7787518,151.0947443,888500,Epping Station NSW,1.35153652
"54 Abuklea Road Eastwood, NSW, 2122",3,1,1,879,1271,House: One Storey / Lowset,-33.7785816,151.0950174,1880000,Epping Station NSW,1.364366481
"56 Abuklea Road Eastwood, NSW, 2122",4,2,2,658,4050,House: One Storey / Lowset,-33.7791795,151.0959332,1150000,Epping Station NSW,1.470595171
"58 Abuklea Road Eastwood, NSW, 2122",1,1,2,664,1256,House: One Storey / Lowset,-33.77926,151.0961094,1510000,Epping Station NSW,1.489177603
"62 Abuklea Road Eastwood, NSW, 2122",3,1,2,1100,861,House: One Storey / Lowset,-33.7795012,151.0964279,2350000,Epping Station NSW,1.527989489
"1/66 Abuklea Road Eastwood, NSW, 2122",3,2,2,207,1963,Unit: Townhouse/Villa,-33.7833974,151.0999581,953000,Eastwood Station NSW,1.806008799
"2/66 Abuklea Road Eastwood, NSW, 2122",3,2,1,176,2038,Unit,-33.7797307,151.0967009,890000,Epping Station NSW,1.562558086
"72 Abuklea Road Eastwood, NSW, 2122",5,4,2,955,2762,House: One Storey / Lowset,-33.77991,151.0972469,1700000,Epping Station NSW,1.616258642
"76 Abuklea Road Eastwood, NSW, 2122",6,4,2,1037,432,House,-33.780097,151.0975881,2220000,Epping Station NSW,1.653952422
"84 Abuklea Road Eastwood, NSW, 2122",3,1,2,721,1974,House: One Storey / Lowset,-33.7808825,151.0990214,2800000,Macquarie University Station NSW,1.805405439
"92 Abuklea Road Eastwood, NSW, 2122",5,2,1,797,6966,House: One Storey / Lowset,-33.7815776,151.1000225,380000,Macquarie University Station NSW,1.736238231
"100 Abuklea Road Eastwood, NSW, 2122",2,1,2,740,3293,House: One Storey / Lowset,-33.7821785,151.100341,830000,Macquarie University Station NSW,1.728800743
"106 Abuklea Road Eastwood, NSW, 2122",4,1,1,677,5177,House: Two Storey / Highset,-33.7825564,151.1005685,657500,Macquarie University Station NSW,1.723338223
"114 Abuklea Road Eastwood, NSW, 2122",5,2,2,721,2159,House: One Storey / Lowset,-33.7832373,151.100887,1337000,Macquarie University Station NSW,1.724452702
"120 Abuklea Road Eastwood, NSW, 2122",3,1,3,1290,1739,House,-33.7836835,151.101069,1965000,Macquarie University Station NSW,1.729491599
"122 Abuklea Road Eastwood, NSW, 2122",4,3,2,765,2139,House: One Storey / Lowset,-33.7838413,151.101107,1788000,Macquarie University Station NSW,1.733845083
"124 Abuklea Road Eastwood, NSW, 2122",3,2,2,778,5335,House,-33.7839581,151.1012055,540000,Macquarie University Station NSW,1.73134135
"126 Abuklea Road Eastwood, NSW, 2122",5,3,4,778,3498,House: One Storey / Lowset,-33.7841413,151.1012965,1478000,Macquarie University Station NSW,1.732930129
"130 Abuklea Road Eastwood, NSW, 2122",4,2,2,790,4238,House: One Storey / Lowset,-33.7843476,151.1014786,750800,Macquarie University Station NSW,1.728543451
"148 Abuklea Road Eastwood, NSW, 2122",5,3,4,949,3689,House: One Storey / Lowset,-33.7858525,151.1022066,1380000,Macquarie University Station NSW,1.756449748
"160 Abuklea Road Eastwood, NSW, 2122",5,2,2,563,129,House,-33.7867359,151.1026402,1662000,Macquarie University Station NSW,1.780693601
"168 Abuklea Road Eastwood, NSW, 2122",4,2,2,715,2841,House: One Storey / Lowset,-33.7873922,151.1030711,1210000,Macquarie University Station NSW,1.794795248
"170 Abuklea Road Eastwood, NSW, 2122",3,1,1,696,6482,House,-33.7875637,151.1031166,101250,Macquarie University Station NSW,1.803823775
"2/178 Abuklea Road Eastwood, NSW, 2122",3,2,2,194,799,Unit,-33.7883529,151.1033897,870000,Macquarie University Station NSW,1.84314157
"182 Abuklea Road Eastwood, NSW, 2122",4,1,3,936,6730,House,-33.7888855,151.1037537,460500,Macquarie University Station NSW,1.859924283
"184 Abuklea Road Eastwood, NSW, 2122",4,1,2,917,2960,House: One Storey / Lowset,-33.7890462,151.1037321,930000,Macquarie University Station NSW,1.873981515
"1/184A Abuklea Road Eastwood, NSW, 2122",4,2,1,296,2536,Unit,-33.7890462,151.1037321,840000,Macquarie University Station NSW,1.873981515
"2/184B Abuklea Road Eastwood, NSW, 2122",3,2,1,157,2538,Unit: Townhouse/Villa,-33.7890462,151.1037321,738000,Macquarie University Station NSW,1.873981515
"3/184C Abuklea Road Eastwood, NSW, 2122",3,2,2,231,2536,Unit: Townhouse/Villa,-33.7890462,151.1037321,772000,Macquarie University Station NSW,1.873981515
"188A Abuklea Road Eastwood, NSW, 2122",5,3,1,455,686,House,-33.7894183,151.1041556,1800000,Macquarie University Station NSW,1.876651854
