Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"3 Acacia Avenue Ryde, NSW, 2112",2,1,1,613,5341,House: One Storey / Lowset,-33.8213092,151.1151996,600000,Meadowbank Station NSW,2.388737722
"4 Acacia Avenue Ryde, NSW, 2112",4,2,2,607,1980,House,-33.8216122,151.1156304,1801000,Meadowbank Station NSW,2.435740977
"6 Acacia Avenue Ryde, NSW, 2112",4,2,1,607,2082,House,-33.8217488,151.1155394,1375000,Meadowbank Station NSW,2.43157074
"10 Acacia Avenue Ryde, NSW, 2112",4,3,1,612,4952,House,-33.8219022,151.1153574,720000,Meadowbank Station NSW,2.41993082
"11 Acacia Avenue Ryde, NSW, 2112",4,1,1,617,5188,House: One Storey / Lowset,-33.821666,151.1148087,67000,Meadowbank Station NSW,2.364043897
"12 Acacia Avenue Ryde, NSW, 2112",3,2,2,607,904,House: One Storey / Lowset,-33.8219989,151.1152664,2130000,Meadowbank Station NSW,2.414793054
"14 Acacia Avenue Ryde, NSW, 2112",4,2,2,612,3919,House: One Storey / Lowset,-33.8220955,151.1151754,1530000,Meadowbank Station NSW,2.409718529
"18 Acacia Avenue Ryde, NSW, 2112",6,4,3,607,277,House,-33.8222773,151.1149478,2100000,Meadowbank Station NSW,2.395370969
"19 Acacia Avenue Ryde, NSW, 2112",4,3,1,620,3137,House,-33.8220233,151.1144183,907500,Meadowbank Station NSW,2.340379985
"22 Acacia Avenue Ryde, NSW, 2112",4,2,2,612,2691,House: One Storey / Lowset,-33.8224422,151.1148113,1268000,Meadowbank Station NSW,2.388753561
"24 Acacia Avenue Ryde, NSW, 2112",4,3,2,612,3433,House: One Storey / Lowset,-33.8225273,151.1146748,1460000,Meadowbank Station NSW,2.379601193
"27 Acacia Avenue Ryde, NSW, 2112",5,3,2,620,3409,House: One Storey / Lowset,-33.8223816,151.1140265,1440000,Meadowbank Station NSW,2.317628201
"28 Acacia Avenue Ryde, NSW, 2112",4,2,2,607,3617,House: One Storey / Lowset,-33.8227206,151.1144928,960000,Meadowbank Station NSW,2.370293174
"30 Acacia Avenue Ryde, NSW, 2112",5,3,2,696,3595,House: One Storey / Lowset,-33.8228173,151.1144018,1375000,Meadowbank Station NSW,2.365745284
"34 Acacia Avenue Ryde, NSW, 2112",2,1,4,702,5404,House,-33.8230344,151.1142086,810000,Meadowbank Station NSW,2.356758392
"38 Acacia Avenue Ryde, NSW, 2112",3,1,1,317,3646,House: One Storey / Lowset,-33.8231692,151.1139012,780000,Meadowbank Station NSW,2.335074075
"40 Acacia Avenue Ryde, NSW, 2112",3,3,3,715,5488,House,-33.8233058,151.1138102,750000,Meadowbank Station NSW,2.332427964
"42 Acacia Avenue Ryde, NSW, 2112",4,2,2,721,2971,House: One Storey / Lowset,-33.8234025,151.1137192,1180000,Meadowbank Station NSW,2.328334464
"44 Acacia Avenue Ryde, NSW, 2112",2,1,1,721,1061,House: One Storey / Lowset,-33.8234476,151.1135827,2631000,Meadowbank Station NSW,2.318333868
"46 Acacia Avenue Ryde, NSW, 2112",4,3,2,727,4439,House: One Storey / Lowset,-33.8235842,151.1134916,1830000,Meadowbank Station NSW,2.315969944
"49 Acacia Avenue Ryde, NSW, 2112",3,2,1,696,3154,House: One Storey / Lowset,-33.8235001,151.1128219,915000,Meadowbank Station NSW,2.254995787
"50 Acacia Avenue Ryde, NSW, 2112",4,4,2,683,3328,House,-33.8238059,151.1132641,895000,Meadowbank Station NSW,2.305589196
"52 Acacia Avenue Ryde, NSW, 2112",5,4,2,601,2075,House,-33.8239025,151.1131731,1265000,Meadowbank Station NSW,2.301887851
"54 Acacia Avenue Ryde, NSW, 2112",4,1,1,594,3980,House: One Storey / Lowset,-33.8240907,151.1131276,790000,Meadowbank Station NSW,2.306095164
"56 Acacia Avenue Ryde, NSW, 2112",4,3,2,683,4240,House: One Storey / Lowset,-33.8242274,151.1130366,1175000,Meadowbank Station NSW,2.304356686
"57 Acacia Avenue Ryde, NSW, 2112",2,1,2,740,2135,House: One Storey / Lowset,-33.8241799,151.1126553,1060000,Meadowbank Station NSW,2.26995406
"58 Acacia Avenue Ryde, NSW, 2112",4,2,2,721,4444,House: One Storey / Lowset,-33.824529,151.1128091,975000,Meadowbank Station NSW,2.298731541
"2 Adam Street Ryde, NSW, 2112",4,3,3,790,1025,House: One Storey / Lowset,-33.807429,151.1126725,1903000,West Ryde Station NSW,2.078321098
"4 Adam Street Ryde, NSW, 2112",5,4,2,753,174,House,-33.8072524,151.1127635,2790000,West Ryde Station NSW,2.086724551
"5 Adam Street Ryde, NSW, 2112",3,2,1,809,1991,House: One Storey / Lowset,-33.8071125,151.1131162,1310000,West Ryde Station NSW,2.119437301
"6 Adam Street Ryde, NSW, 2112",3,1,1,582,1958,House: One Storey / Lowset,-33.8071789,151.1129456,900000,West Ryde Station NSW,2.103601517
"1 Addington Avenue Ryde, NSW, 2112",5,3,1,601,2129,House: One Storey / Lowset,-33.8115904,151.1015998,1625000,West Ryde Station NSW,1.156478194
"5 Addington Avenue Ryde, NSW, 2112",4,3,1,604,5268,House,-33.8118235,151.1013875,522500,Meadowbank Station NSW,1.13710988
"8 Addington Avenue Ryde, NSW, 2112",5,4,1,575,465,House,-33.8123624,151.1015809,1140000,Meadowbank Station NSW,1.130709509
"9 Addington Avenue Ryde, NSW, 2112",4,3,2,743,4434,House: One Storey / Lowset,-33.8120285,151.101251,840000,Meadowbank Station NSW,1.116414579
"11 Addington Avenue Ryde, NSW, 2112",4,2,2,721,5012,House: One Storey / Lowset,-33.8121535,151.1011145,630000,Meadowbank Station NSW,1.099369584
"13 Addington Avenue Ryde, NSW, 2112",5,4,2,432,430,House: One Storey / Lowset,-33.8122927,151.1009553,1560000,Meadowbank Station NSW,1.079840954
