Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"6 Abbey Place Cherrybrook, NSW, 2126",4,3,3,851,2940,House: One Storey / Lowset,-33.731949,151.0376518,922500,Cherrybrook Station NSW,0.74519952
"8 Abbey Place Cherrybrook, NSW, 2126",4,3,2,851,3347,House,-33.7320871,151.0378792,1095000,Cherrybrook Station NSW,0.749628639
"1 Abelia Close Cherrybrook, NSW, 2126",4,2,1,830,2849,House: One Storey / Lowset,-33.7115236,151.0527077,775000,Cherrybrook Station NSW,3.393309706
"2 Abelia Close Cherrybrook, NSW, 2126",4,3,2,830,4520,House: One Storey / Lowset,-33.7114126,151.0521163,650000,Cherrybrook Station NSW,3.372961966
"4 Abelia Close Cherrybrook, NSW, 2126",4,2,2,999,4506,House: One Storey / Lowset,-33.7116293,151.0520253,790000,Cherrybrook Station NSW,3.348234042
"6 Abelia Close Cherrybrook, NSW, 2126",5,4,2,862,5364,House: Two Storey / Highset,-33.7117841,151.0521618,623000,Cherrybrook Station NSW,3.340963354
"1 Acer Court Cherrybrook, NSW, 2126",4,2,2,894,2064,House: One Storey / Lowset,-33.7194862,151.0483409,1000000,Cherrybrook Station NSW,2.440418125
"2 Acer Court Cherrybrook, NSW, 2126",3,2,2,848,3481,House: One Storey / Lowset,-33.7191958,151.0479087,748000,Cherrybrook Station NSW,2.441462418
"3 Acer Court Cherrybrook, NSW, 2126",4,2,2,1032,2793,House: One Storey / Lowset,-33.7197661,151.0483409,776000,Cherrybrook Station NSW,2.416094049
"4 Acer Court Cherrybrook, NSW, 2126",4,3,2,741,1774,House: One Storey / Lowset,-33.7193351,151.0477495,1583000,Cherrybrook Station NSW,2.420225038
"5 Acer Court Cherrybrook, NSW, 2126",3,2,2,814,2086,House: One Storey / Lowset,-33.7197363,151.0480679,1045000,Cherrybrook Station NSW,2.402942881
"9 Acer Court Cherrybrook, NSW, 2126",5,3,2,758,1079,House: One Storey / Lowset,-33.7197401,151.0476131,1490000,Cherrybrook Station NSW,2.376761057
"15 Acer Court Cherrybrook, NSW, 2126",4,2,2,768,1508,House,-33.7198355,151.0472037,1210000,Cherrybrook Station NSW,2.345404568
