Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"1 Allambie Avenue Northmead, NSW, 2152",4,2,2,588,2691,House: One Storey / Lowset,-33.7884938,150.9901742,787000,Westmead Station NSW,2.224886433
"2 Allambie Avenue Northmead, NSW, 2152",3,1,1,740,5176,House,-33.7883522,150.9893102,467000,Westmead Station NSW,2.2345637
"5 Allambie Avenue Northmead, NSW, 2152",3,1,2,740,1161,House,-33.7881958,150.9899468,1108000,Westmead Station NSW,2.256040192
"11 Allambie Avenue Northmead, NSW, 2152",3,2,1,816,5702,House,-33.7874352,150.9896285,489000,Westmead Station NSW,2.338167469
"16 Allambie Avenue Northmead, NSW, 2152",6,3,2,746,1900,House: One Storey / Lowset,-33.7873919,150.988992,1535000,Westmead Station NSW,2.339750074
"18 Allambie Avenue Northmead, NSW, 2152",3,1,1,746,1950,House,-33.7872204,150.9889465,915000,Westmead Station NSW,2.35863072
"19 Allambie Avenue Northmead, NSW, 2152",4,2,1,873,5800,House,-33.7868293,150.9894467,545151,Westmead Station NSW,2.40434899
"23 Allambie Avenue Northmead, NSW, 2152",4,2,2,462,3791,House: One Storey / Lowset,-33.786573,150.9895376,650000,Westmead Station NSW,2.433300619
"24 Allambie Avenue Northmead, NSW, 2152",3,1,1,822,4054,House,-33.786786,150.9888101,455000,Westmead Station NSW,2.406433165
"27 Allambie Avenue Northmead, NSW, 2152",3,1,1,873,4772,House: One Storey / Lowset,-33.7860745,150.9896967,490000,Westmead Station NSW,2.489554178
"28 Allambie Avenue Northmead, NSW, 2152",3,1,1,765,5876,House: One Storey / Lowset,-33.7861768,150.9890829,472500,Westmead Station NSW,2.475098718
"29 Allambie Avenue Northmead, NSW, 2152",5,2,1,923,528,House: One Storey / Lowset,-33.7859638,150.9898104,1100000,Westmead Station NSW,2.502547311
"32 Allambie Avenue Northmead, NSW, 2152",3,1,2,759,1261,House: One Storey / Lowset,-33.7859205,150.9891738,1237500,Westmead Station NSW,2.503945341
"33 Allambie Avenue Northmead, NSW, 2152",3,2,2,453,3517,House,-33.7856676,150.9899013,640000,Westmead Station NSW,2.53599597
"34 Allambie Avenue Northmead, NSW, 2152",4,2,4,759,874,House,-33.785784,150.9892648,1300000,Westmead Station NSW,2.519507321
"38 Allambie Avenue Northmead, NSW, 2152",1,1,2,753,2347,Unit,-33.7855277,150.9893557,775000,Westmead Station NSW,2.548395119
"1 Anderson Road Northmead, NSW, 2152",3,1,1,854,4429,House,-33.7818226,150.9978133,489000,Westmead Station NSW,3.094970642
"2/1A Anderson Road Northmead, NSW, 2152",3,3,1,149,1229,Unit,-33.7819414,150.9977435,663000,Westmead Station NSW,3.080445732
"3/1A Anderson Road Northmead, NSW, 2152",3,2,1,254,1387,Unit,-33.7819414,150.9977435,710000,Westmead Station NSW,3.080445732
"4/1A Anderson Road Northmead, NSW, 2152",2,2,1,144,1698,Unit,-33.7819414,150.9977435,655000,Westmead Station NSW,3.080445732
"5/1A Anderson Road Northmead, NSW, 2152",3,3,1,154,1812,Unit: Townhouse/Villa,-33.7819414,150.9977435,710000,Westmead Station NSW,3.080445732
"6/1A Anderson Road Northmead, NSW, 2152",3,3,1,214,1834,Unit: Townhouse/Villa,-33.7819414,150.9977435,720000,Westmead Station NSW,3.080445732
"2 Anderson Road Northmead, NSW, 2152",3,2,4,1707,3701,House,-33.782312,150.9975404,920000,Westmead Station NSW,3.035541652
"4 Anderson Road Northmead, NSW, 2152",3,1,2,849,1441,House: One Storey / Lowset,-33.7823161,150.9977905,952000,Westmead Station NSW,3.041953408
"5 Anderson Road Northmead, NSW, 2152",3,1,1,942,921,House: One Storey / Lowset,-33.7818359,150.998177,1635000,Westmead Station NSW,3.103653172
"6 Anderson Road Northmead, NSW, 2152",3,1,1,758,3237,House: One Storey / Lowset,-33.7823369,150.9979497,660000,Westmead Station NSW,3.044192342
"6A Anderson Road Northmead, NSW, 2152",3,1,2,692,5103,House: One Storey / Lowset,-33.7826449,150.997767,470000,Westmead Station NSW,3.006435476
"7 Anderson Road Northmead, NSW, 2152",3,2,2,753,6604,House: One Storey / Lowset,-33.78184,150.9984271,350000,Westmead Station NSW,3.110353906
"8 Anderson Road Northmead, NSW, 2152",3,2,1,772,6030,House,-33.782287,150.9982225,518500,Westmead Station NSW,3.057232101
"8A Anderson Road Northmead, NSW, 2152",4,2,2,860,2738,House: One Storey / Lowset,-33.7826514,150.9980714,640000,Westmead Station NSW,3.014378893
"9 Anderson Road Northmead, NSW, 2152",7,3,2,816,3057,House,-33.781833,150.9988019,700000,Westmead Station NSW,3.122072978
