Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"2 Aaron Place Carlingford, NSW, 2118",4,3,1,721,1340,House: One Storey / Lowset,-33.7719501,151.0478064,1308000,Beecroft Station NSW,3.013262132
"1 Ada Place Carlingford, NSW, 2118",3,2,2,715,5878,House,-33.7712305,151.0487048,540000,Beecroft Station NSW,2.90026865
"3 Ada Place Carlingford, NSW, 2118",3,2,2,904,4071,House,-33.7710333,151.0486365,585000,Beecroft Station NSW,2.885769315
"2/60 Adderton Road Carlingford, NSW, 2118",3,1,1,4452,895,Unit,-33.7893546,151.0445655,866666,Eastwood Station NSW,3.474973052
"9/60 Adderton Road Carlingford, NSW, 2118",3,1,1,4452,2390,Unit,-33.7893546,151.0445655,595000,Eastwood Station NSW,3.474973052
"11/60 Adderton Road Carlingford, NSW, 2118",3,1,1,4452,4874,Unit,-33.7893546,151.0445655,365000,Eastwood Station NSW,3.474973052
"13/60 Adderton Road Carlingford, NSW, 2118",3,1,1,4452,7360,Unit,-33.7893546,151.0445655,250000,Eastwood Station NSW,3.474973052
"74A Adderton Road Carlingford, NSW, 2118",1,1,2,424,1620,House: One Storey / Lowset,-33.7886752,151.0445655,1365000,Eastwood Station NSW,3.477609892
"76 Adderton Road Carlingford, NSW, 2118",5,3,1,803,1704,House: One Storey / Lowset,-33.7885154,151.0445655,1500000,Eastwood Station NSW,3.478468152
"80 Adderton Road Carlingford, NSW, 2118",3,2,4,1056,2752,Unit: Townhouse/Villa,-33.7882392,151.0446086,750000,Eastwood Station NSW,3.476189065
"86 Adderton Road Carlingford, NSW, 2118",1,1,1,658,3632,Unit,-33.7878928,151.0444745,685000,Eastwood Station NSW,3.491063557
"94 Adderton Road Carlingford, NSW, 2118",3,3,1,651,3671,House: One Storey / Lowset,-33.7872043,151.0443608,630000,Eastwood Station NSW,3.507757463
"96 Adderton Road Carlingford, NSW, 2118",3,1,1,651,2369,House: One Storey / Lowset,-33.7869787,151.0443381,740000,Eastwood Station NSW,3.512241434
"98 Adderton Road Carlingford, NSW, 2118",3,1,2,651,2042,House: One Storey / Lowset,-33.7867673,151.0442926,1000000,Eastwood Station NSW,3.518828149
"100 Adderton Road Carlingford, NSW, 2118",3,2,3,330,1109,House,-33.7865195,151.0442562,1010000,Eastwood Station NSW,3.525184253
"100A Adderton Road Carlingford, NSW, 2118",4,2,1,325,1974,House: One Storey / Lowset,-33.7864163,151.0442629,1030000,Eastwood Station NSW,3.525885965
"102 Adderton Road Carlingford, NSW, 2118",3,2,2,658,3200,House,-33.7863278,151.0442926,650000,Eastwood Station NSW,3.524319449
"104 Adderton Road Carlingford, NSW, 2118",3,2,1,658,2395,House: One Storey / Lowset,-33.7861219,151.0442834,810000,Eastwood Station NSW,3.527965534
