Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"1 Adelaide Street West Ryde, NSW, 2114",5,3,2,613,2859,House: One Storey / Lowset,-33.8072436,151.0821185,642000,Denistone Station NSW,0.735326602
"3/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,58,1474,Unit,-33.8074372,151.0826417,405000,West Ryde Station NSW,0.696443141
"4/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,58,1095,Unit: Standard,-33.8074372,151.0826417,431000,West Ryde Station NSW,0.696443141
"5/2 Adelaide Street West Ryde, NSW, 2114",1,1,2,751,3338,Unit: Standard,-33.8074372,151.0826417,261000,West Ryde Station NSW,0.696443141
"6/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,756,4677,Unit: Standard,-33.8074372,151.0826417,187000,West Ryde Station NSW,0.696443141
"7/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,756,2430,Unit: Standard,-33.8074372,151.0826417,335000,West Ryde Station NSW,0.696443141
"8/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,751,3143,Unit: Standard,-33.8074372,151.0826417,272500,West Ryde Station NSW,0.696443141
"9/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,57,1645,Unit,-33.8074372,151.0826417,410000,West Ryde Station NSW,0.696443141
"10/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,58,1271,Unit: Standard,-33.8074372,151.0826417,425000,West Ryde Station NSW,0.696443141
"11/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,58,1467,Unit: Standard,-33.8074372,151.0826417,420000,West Ryde Station NSW,0.696443141
"12/2 Adelaide Street West Ryde, NSW, 2114",1,1,1,756,3809,Unit: Standard,-33.8074372,151.0826417,255000,West Ryde Station NSW,0.696443141
"2/4 Adelaide Street West Ryde, NSW, 2114",1,1,1,758,2745,Unit,-33.8076795,151.0825735,272000,West Ryde Station NSW,0.703695755
"8/4 Adelaide Street West Ryde, NSW, 2114",1,1,1,57,1258,Unit: Standard,-33.8076795,151.0825735,420000,West Ryde Station NSW,0.703695755
"10/4 Adelaide Street West Ryde, NSW, 2114",1,1,1,57,1230,Unit: Standard,-33.8076795,151.0825735,430000,West Ryde Station NSW,0.703695755
"11/4 Adelaide Street West Ryde, NSW, 2114",1,1,1,57,955,Unit: Standard,-33.8076795,151.0825735,433000,West Ryde Station NSW,0.703695755
"1/6 Adelaide Street West Ryde, NSW, 2114",2,1,1,88,214,Unit,-33.8078064,151.0825497,582250,West Ryde Station NSW,0.706798017
"7 Adelaide Street West Ryde, NSW, 2114",4,3,1,613,2222,House: Duplex,-33.8077787,151.0818785,1196000,West Ryde Station NSW,0.76845102
"1/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,97,1846,Unit,-33.8080742,151.0824876,638000,West Ryde Station NSW,0.715328043
"2/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,102,2222,Unit,-33.8080742,151.0824876,555000,West Ryde Station NSW,0.715328043
"3/8-10 Adelaide Street West Ryde, NSW, 2114",3,2,1,1512,3875,Unit,-33.8080742,151.0824876,420000,West Ryde Station NSW,0.715328043
"4/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,1489,2754,Unit: Standard,-33.8080742,151.0824876,425000,West Ryde Station NSW,0.715328043
"7/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,1489,2751,Unit,-33.8080742,151.0824876,425000,West Ryde Station NSW,0.715328043
"8/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,103,2118,Unit: Standard,-33.8080742,151.0824876,590000,West Ryde Station NSW,0.715328043
"10/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,97,215,Unit: Standard,-33.8080742,151.0824876,595000,West Ryde Station NSW,0.715328043
"12/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,1512,4638,Unit,-33.8080742,151.0824876,307200,West Ryde Station NSW,0.715328043
"13/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,106,533,Unit: Standard,-33.8080742,151.0824876,700000,West Ryde Station NSW,0.715328043
"14/8-10 Adelaide Street West Ryde, NSW, 2114",2,1,1,1489,2849,Unit: Standard,-33.8080742,151.0824876,415000,West Ryde Station NSW,0.715328043
"9 Adelaide Street West Ryde, NSW, 2114",3,1,1,612,2348,House: One Storey / Lowset,-33.807921,151.0819934,1010000,West Ryde Station NSW,0.759051938
"1/12 Adelaide Street West Ryde, NSW, 2114",1,1,1,66,73,Unit,-33.8083756,151.0824825,440000,West Ryde Station NSW,0.72041509
"2/12 Adelaide Street West Ryde, NSW, 2114",1,1,1,753,4400,Unit,-33.8083756,151.0824825,220000,West Ryde Station NSW,0.72041509
"3/12 Adelaide Street West Ryde, NSW, 2114",2,1,1,86,92,Unit,-33.8083756,151.0824825,585000,West Ryde Station NSW,0.72041509
"4/12 Adelaide Street West Ryde, NSW, 2114",2,1,1,87,1053,Unit: Standard,-33.8083756,151.0824825,580000,West Ryde Station NSW,0.72041509
"5/12 Adelaide Street West Ryde, NSW, 2114",1,1,1,756,3092,Unit: Standard,-33.8083756,151.0824825,303000,West Ryde Station NSW,0.72041509
"6/12 Adelaide Street West Ryde, NSW, 2114",1,1,1,67,1106,Unit: Standard,-33.8083756,151.0824825,460000,West Ryde Station NSW,0.72041509
"8/12 Adelaide Street West Ryde, NSW, 2114",2,1,1,82,514,Unit: Standard,-33.8083756,151.0824825,466000,West Ryde Station NSW,0.72041509
"9/12 Adelaide Street West Ryde, NSW, 2114",1,1,1,753,3801,Unit: Standard,-33.8083756,151.0824825,276000,West Ryde Station NSW,0.72041509
"11/12 Adelaide Street West Ryde, NSW, 2114",2,1,1,756,2325,Unit,-33.8083756,151.0824825,464000,West Ryde Station NSW,0.72041509
