Address,Beds,Baths,Cars,Area,Date,Ptype,Latitude,Longitude,Price,Closest Station,Straight Distance (km)
"8 Abbey Lane North Parramatta, NSW, 2151",4,3,2,336,1522,House: One Storey / Lowset,-33.8059051,151.0121564,1200000,Parramatta Station NSW,1.538773709
"10 Abbey Lane North Parramatta, NSW, 2151",3,3,1,169,4288,Unit: Townhouse/Villa,-33.8058134,151.0120921,530000,Parramatta Station NSW,1.544698192
"23 Abbey Lane North Parramatta, NSW, 2151",4,2,1,220,3430,House: One Storey / Lowset,-33.805151,151.0120012,580000,Parramatta Station NSW,1.605297762
"94 Albert Street East North Parramatta, NSW, 2151",10,3,3,797,4456,House,-33.8047862,151.0165034,530000,Parramatta Station NSW,1.868582914
"100 Albert Street East North Parramatta, NSW, 2151",3,1,2,405,4239,House: One Storey / Lowset,-33.8049226,151.0175039,468000,Parramatta Station NSW,1.916210759
"108 Albert Street East North Parramatta, NSW, 2151",3,1,1,405,6102,House,-33.8049667,151.0181145,445000,Parramatta Station NSW,1.950130695
"112 Albert Street East North Parramatta, NSW, 2151",3,1,1,405,4319,House: One Storey / Lowset,-33.8050872,151.0184589,430000,Parramatta Station NSW,1.961981684
"114 Albert Street East North Parramatta, NSW, 2151",3,1,1,430,3293,House: One Storey / Lowset,-33.8051222,151.0185953,450000,Parramatta Station NSW,1.967845256
"2/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2836,1477,Unit,-33.8025902,151.0023776,490000,Westmead Station NSW,1.484346112
"3/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,94,Unit,-33.8025902,151.0023776,455000,Westmead Station NSW,1.484346112
"4/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2836,2414,Unit: Standard,-33.8025902,151.0023776,355000,Westmead Station NSW,1.484346112
"6/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,4985,Unit: Standard,-33.8025902,151.0023776,208000,Westmead Station NSW,1.484346112
"7/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2.84,2687,Unit: Standard,-33.8025902,151.0023776,318000,Westmead Station NSW,1.484346112
"8/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,7383,Unit,-33.8025902,151.0023776,130000,Westmead Station NSW,1.484346112
"12/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,4640,Unit,-33.8025902,151.0023776,207000,Westmead Station NSW,1.484346112
"13/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,4338,Unit,-33.8025902,151.0023776,218000,Westmead Station NSW,1.484346112
"14/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2.84,5849,Unit: Standard,-33.8025902,151.0023776,248000,Westmead Station NSW,1.484346112
"16/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2836,2633,Unit,-33.8025902,151.0023776,309000,Westmead Station NSW,1.484346112
"18/2-6 Albert Street North Parramatta, NSW, 2151",2,1,1,2846,2436,Unit,-33.8025902,151.0023776,342000,Westmead Station NSW,1.484346112
"19/2-6 Albert Street North Parramatta, NSW, 2151",3,2,1,2846,7306,Unit: Standard,-33.8025902,151.0023776,185000,Westmead Station NSW,1.484346112
"23/2-6 Albert Street North Parramatta, NSW, 2151",3,2,2,2836,2438,Unit: Standard,-33.8025902,151.0023776,435000,Westmead Station NSW,1.484346112
"24/2-6 Albert Street North Parramatta, NSW, 2151",3,2,2,2836,2356,Unit: Standard,-33.8025902,151.0023776,460000,Westmead Station NSW,1.484346112
"25/2-6 Albert Street North Parramatta, NSW, 2151",3,2,2,2846,4077,Unit,-33.8025902,151.0023776,323000,Westmead Station NSW,1.484346112
"7/10 Albert Street North Parramatta, NSW, 2151",3,1,1,1163,2269,Unit,-33.8029184,151.0024287,495000,Westmead Station NSW,1.473081316
"8/10 Albert Street North Parramatta, NSW, 2151",2,1,1,1163,2409,Unit: Standard,-33.8029184,151.0024287,380000,Westmead Station NSW,1.473081316
"9/10 Albert Street North Parramatta, NSW, 2151",2,1,1,1145,164,Unit,-33.8029184,151.0024287,417500,Westmead Station NSW,1.473081316
"10/10 Albert Street North Parramatta, NSW, 2151",3,1,1,1163,3912,Unit: Standard,-33.8029184,151.0024287,270000,Westmead Station NSW,1.473081316
"12/10 Albert Street North Parramatta, NSW, 2151",2,1,1,1163,1243,Unit,-33.8029184,151.0024287,519000,Westmead Station NSW,1.473081316
"1/11 Albert Street North Parramatta, NSW, 2151",2,1,1,1308,2863,Unit,-33.8036183,151.0036793,310000,Westmead Station NSW,1.550473822
"6/11 Albert Street North Parramatta, NSW, 2151",2,1,1,1258,2051,Unit,-33.8036183,151.0036793,410500,Westmead Station NSW,1.550473822
"9/11 Albert Street North Parramatta, NSW, 2151",2,2,1,1258,5601,Unit: Standard,-33.8036183,151.0036793,217000,Westmead Station NSW,1.550473822
"10/11 Albert Street North Parramatta, NSW, 2151",2,1,1,1308,1304,Unit,-33.8036183,151.0036793,455000,Westmead Station NSW,1.550473822
"13/11 Albert Street North Parramatta, NSW, 2151",3,1,1,1308,1625,Unit: Standard,-33.8036183,151.0036793,380000,Westmead Station NSW,1.550473822
"6/13 Albert Street North Parramatta, NSW, 2151",2,1,1,1300,899,Unit: Standard,-33.8036245,151.0039347,672000,Westmead Station NSW,1.57241846
"8/13 Albert Street North Parramatta, NSW, 2151",2,1,2,1300,3371,Unit: Standard,-33.8036245,151.0039347,332500,Westmead Station NSW,1.57241846
"9/13 Albert Street North Parramatta, NSW, 2151",2,2,1,1300,577,Unit,-33.8036245,151.0039347,605000,Westmead Station NSW,1.57241846
"10/13 Albert Street North Parramatta, NSW, 2151",2,1,1,1278,2829,Unit: Standard,-33.8036245,151.0039347,372000,Westmead Station NSW,1.57241846
"11/13 Albert Street North Parramatta, NSW, 2151",2,1,1,1278,4681,Unit,-33.8036245,151.0039347,322000,Westmead Station NSW,1.57241846
"1/14 Albert Street North Parramatta, NSW, 2151",2,1,1,622,3045,Unit,-33.8031301,151.0026023,325000,Westmead Station NSW,1.478173467
"6/14 Albert Street North Parramatta, NSW, 2151",2,1,1,622,3935,Unit: Standard,-33.8028427,151.0026788,260000,Westmead Station NSW,1.497600721
"1/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,5039,Unit,-33.8041609,151.0070443,265000,Parramatta Station NSW,1.556682179
"3/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1.93,636,Unit: Standard,-33.8041609,151.0070443,495000,Parramatta Station NSW,1.556682179
"7/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1925,4075,Unit: Standard,-33.8041609,151.0070443,287000,Parramatta Station NSW,1.556682179
"8/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,3974,Unit: Standard,-33.8041609,151.0070443,260000,Parramatta Station NSW,1.556682179
"10/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,1985,Unit: Standard,-33.8041609,151.0070443,450000,Parramatta Station NSW,1.556682179
"11/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,1756,Unit: Standard,-33.8041609,151.0070443,530000,Parramatta Station NSW,1.556682179
"13/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,4287,Unit,-33.8041609,151.0070443,240000,Parramatta Station NSW,1.556682179
"14/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1925,3256,Unit: Standard,-33.8041609,151.0070443,320000,Parramatta Station NSW,1.556682179
"18/17 Albert Street North Parramatta, NSW, 2151",2,1,1,1935,3522,Unit: Standard,-33.8041609,151.0070443,262500,Parramatta Station NSW,1.556682179
"3/19-21 Albert Street North Parramatta, NSW, 2151",3,2,2,1312,5625,Unit: Standard,-33.8042569,151.0086819,400000,Parramatta Station NSW,1.581875446
"4/19-21 Albert Street North Parramatta, NSW, 2151",3,2,2,1312,5528,Unit,-33.8042569,151.0086819,382000,Parramatta Station NSW,1.581875446
"5/19-21 Albert Street North Parramatta, NSW, 2151",3,2,2,1312,5072,Unit,-33.8042569,151.0086819,360000,Parramatta Station NSW,1.581875446
"6/19-21 Albert Street North Parramatta, NSW, 2151",2,1,1,1312,5396,Unit: Standard,-33.8042569,151.0086819,390000,Parramatta Station NSW,1.581875446
"9/19-21 Albert Street North Parramatta, NSW, 2151",3,2,2,1312,1708,Unit: Standard,-33.8042569,151.0086819,710000,Parramatta Station NSW,1.581875446
"10/19-21 Albert Street North Parramatta, NSW, 2151",3,2,2,1312,1305,Unit,-33.8042569,151.0086819,806000,Parramatta Station NSW,1.581875446
"22 Albert Street North Parramatta, NSW, 2151",3,1,3,384,577,House: One Storey / Lowset,-33.8031107,151.0037247,980000,Westmead Station NSW,1.574677168
"5/23-25 Albert Street North Parramatta, NSW, 2151",2,1,1,1312,1295,Unit: Standard,-33.8042983,151.008981,625000,Parramatta Station NSW,1.585465385
"7/23-25 Albert Street North Parramatta, NSW, 2151",2,1,1,1312,2628,Unit,-33.8042983,151.008981,390000,Parramatta Station NSW,1.585465385
"8/23-25 Albert Street North Parramatta, NSW, 2151",2,1,1,1312,7173,Unit: Standard,-33.8042983,151.008981,230000,Parramatta Station NSW,1.585465385
"9/23-25 Albert Street North Parramatta, NSW, 2151",2,1,1,1312,964,Unit,-33.8042983,151.008981,605000,Parramatta Station NSW,1.585465385
"24 Albert Street North Parramatta, NSW, 2151",4,1,1,378,2013,House: One Storey / Lowset,-33.8031457,151.0038611,800000,Westmead Station NSW,1.584926293
"3/27 Albert Street North Parramatta, NSW, 2151",3,2,2,656,3301,Unit: Standard,-33.8043489,151.0091817,410000,Parramatta Station NSW,1.585733616
"4/29-31 Albert Street North Parramatta, NSW, 2151",3,2,2,1170,6060,Unit,-33.8043517,151.0093972,378000,Parramatta Station NSW,1.591711389
